num_threads,nodes,serial_time (us),parallel_time (us),speedup,efficiency (%)
2,100,6912,5524,1.251,62.56
2,250,104858,72128,1.454,72.69
2,500,691711,453702,1.525,76.23
2,1000,5484912,3740558,1.466,73.32
2,1500,18474077,14399517,1.283,64.15
2,2000,48332547,39674679,1.218,60.91
2,2500,89190382,58877182,1.515,75.74
2,3000,146974213,98477652,1.492,74.62
2,3500,242213208,166578015,1.454,72.7
2,4000,383157837,318179825,1.204,60.21
2,4500,542922720,383814483,1.415,70.73
2,5000,736242333,502190992,1.466,73.3
4,100,7042,4850,1.452,36.3
4,250,88226,60067,1.469,36.72
4,500,653410,453079,1.442,36.05
4,1000,10992723,3985568,2.758,68.95
4,1500,19311016,17742819,1.088,27.21
4,2000,48875385,37540581,1.302,32.55
4,2500,108801291,56645839,1.921,48.02
4,3000,159739756,105122367,1.52,37.99
4,3500,266782480,171531773,1.555,38.88
4,4000,376358221,269884260,1.395,34.86
4,4500,511739193,334919646,1.528,38.2
4,5000,675310528,450570337,1.499,37.47
6,100,7270,5197,1.399,23.31
6,250,95450,61031,1.564,26.07
6,500,693513,473045,1.466,24.43
6,1000,5759026,5961869,0.966,16.1
6,1500,23363295,12200614,1.915,31.92
6,2000,47051893,33898233,1.388,23.13
6,2500,91395220,61129800,1.495,24.92
6,3000,160721916,107855124,1.49,24.84
6,3500,221353863,146886591,1.507,25.12
6,4000,331806889,218536959,1.518,25.31
6,4500,482731791,304938074,1.583,26.38
6,5000,706878970,500383844,1.413,23.54
8,100,7040,4933,1.427,17.84
8,250,91894,76220,1.206,15.07
8,500,706436,480605,1.47,18.37
8,1000,5233185,8834878,0.592,7.4
8,1500,17239849,12075275,1.428,17.85
8,2000,50346998,26990183,1.865,23.32
8,2500,82212457,62448425,1.316,16.46
8,3000,161504630,99553162,1.622,20.28
8,3500,222263087,146233685,1.52,19
8,4000,306662798,209459839,1.464,18.3
8,4500,437019491,298960437,1.462,18.27
8,5000,589128235,407958673,1.444,18.05
10,100,15223,4530,3.361,33.61
10,250,97136,59130,1.643,16.43
10,500,636192,449018,1.417,14.17
10,1000,5282845,3674094,1.438,14.38
10,1500,16967246,11607691,1.462,14.62
10,2000,39901837,27422422,1.455,14.55
10,2500,77173585,51797673,1.49,14.9
10,3000,130767507,88717177,1.474,14.74
10,3500,207952878,140677927,1.478,14.78
10,4000,307538736,210276307,1.463,14.63
10,4500,435666456,297140687,1.466,14.66
10,5000,589675961,403420175,1.462,14.62
12,100,7320,4789,1.529,12.74
12,250,94770,59461,1.594,13.28
12,500,619748,438800,1.412,11.77
12,1000,5216649,3560849,1.465,12.21
12,1500,17407351,11766750,1.479,12.33
12,2000,39438176,26706256,1.477,12.31
12,2500,76402356,52250589,1.462,12.19
12,3000,130500231,89849372,1.452,12.1
12,3500,212874327,142651805,1.492,12.44
12,4000,306995577,208960528,1.469,12.24
12,4500,435204067,296636370,1.467,12.23
12,5000,591217881,405033370,1.46,12.16
14,100,7065,5225,1.352,9.66
14,250,106252,61594,1.725,12.32
14,500,676601,479742,1.41,10.07
14,1000,5275225,3361823,1.569,11.21
14,1500,17104757,11456171,1.493,10.66
14,2000,40364691,27439142,1.471,10.51
14,2500,77918591,52795366,1.476,10.54
14,3000,132748327,90367982,1.469,10.49
14,3500,209911458,139837557,1.501,10.72
14,4000,309054153,210505415,1.468,10.49
14,4500,435950458,295628835,1.475,10.53
14,5000,587827432,400644979,1.467,10.48
16,100,6939,4904,1.415,8.84
16,250,90198,59554,1.515,9.47
16,500,609245,438606,1.389,8.68
16,1000,5210996,3537956,1.473,9.21
16,1500,17055386,11703593,1.457,9.11
16,2000,39926530,27020317,1.478,9.24
16,2500,76807594,51193543,1.5,9.38
16,3000,131848641,89134717,1.479,9.25
16,3500,203628829,138839834,1.467,9.17
16,4000,302725378,206432875,1.466,9.17
16,4500,436687043,294476778,1.483,9.27
16,5000,586178491,401989414,1.458,9.11
